Status-ID,Category,"Departure station name","Departure station coordinates","Destination station name","Destination station coordinates"
4100639,tram,"Kasinostraße, Darmstadt","49.875066,8.643398","Darmstadt Hbf","49.872549,8.629707"
4100710,nationalExpress,"Darmstadt Hbf","49.872549,8.629707","Rostock Hbf","54.078197,12.131257"
4214186,tram,"Lomonossowstraße, Rostock","54.065307,12.117342","Hauptbahnhof (U), Rostock","54.078359,12.130907"
4214439,tram,"Hauptbahnhof (U), Rostock","54.078359,12.130907","Lomonossowstraße, Rostock","54.065289,12.117243"
4328205,tram,"Lomonossowstraße, Rostock","54.065289,12.117243","Rostock Südblick, Papendorf b Rostock","54.057648,12.11709"
4329605,tram,"Südblick, Rostock","54.058115,12.116362","Lomonossowstraße, Rostock","54.065307,12.117342"
4339184,tram,"Lomonossowstraße, Rostock","54.065307,12.117342","Hauptbahnhof (U), Rostock","54.078359,12.130907"
4339935,nationalExpress,"Rostock Hbf","54.078197,12.131257","Hamburg Hbf","53.553533,10.00636"
4339945,nationalExpress,"Hamburg Hbf","53.553533,10.00636",Frankfurt(Main)Hbf,"50.106817,8.663003"
4341481,nationalExpress,Frankfurt(Main)Hbf,"50.106817,8.663003","Darmstadt Hbf","49.872549,8.629707"
4341813,bus,"Darmstadt Hbf","49.872549,8.629707","Kasinostraße, Darmstadt","49.875066,8.643398"
4343340,regional,"Darmstadt Hbf","49.872549,8.629707","Heidelberg Hbf","49.403582,8.67548"
4343952,suburban,"Heidelberg Hbf","49.403582,8.67548",Karlsruhe-Durlach,"49.002025,8.462292"
4344276,regional,Karlsruhe-Durlach,"49.002025,8.462292",Wilferdingen-Singen,"48.953744,8.572797"
4357704,regional,Wilferdingen-Singen,"48.953744,8.572797","Stuttgart Hbf","48.785052,9.182589"
4358134,nationalExpress,"Stuttgart Hbf","48.785052,9.182589","Frankfurt(M) Flughafen Fernbf","50.052926,8.569776"
4358383,bus,"Flughafen Terminal 1, Frankfurt a.M.","50.05085,8.570585","Darmstadt Hbf","49.872549,8.629707"
4358419,bus,"Darmstadt Hbf","49.872549,8.629707","Kasinostraße, Darmstadt","49.875066,8.643398"
4363730,bus,"Kasinostraße, Darmstadt","49.875066,8.643398","Hofgut Oberfeld, Darmstadt","49.873115,8.682079"
4364047,regional,"Darmstadt Ost","49.874904,8.673772","Darmstadt Hbf","49.872549,8.629707"
4364195,bus,"Darmstadt Hbf","49.872549,8.629707","Kasinostraße, Darmstadt","49.875066,8.643398"
4375585,bus,"Kasinostraße, Darmstadt","49.875066,8.643398","Hofgut Oberfeld, Darmstadt","49.873115,8.682079"
4377303,bus,"Kasinostraße, Darmstadt","49.875066,8.643398","Darmstadt Hbf","49.872549,8.629707"
4377415,suburban,"Darmstadt Hbf","49.872549,8.629707",Frankfurt(M)Konstablerwache,"50.114637,8.686393"
4377717,suburban,Frankfurt(M)Konstablerwache,"50.114637,8.686393","Frankfurt-Höchst Farbwerke","50.098727,8.528678"
4378560,regional,Frankfurt-Höchst,"50.102754,8.542449",Frankfurt(Main)Hbf,"50.106817,8.663003"
4378600,regional,Frankfurt(Main)Hbf,"50.106817,8.663003","Darmstadt Ost","49.874904,8.673772"
4378663,bus,"Ostbahnhof, Darmstadt","49.874706,8.673224","Kasinostraße, Darmstadt","49.875066,8.643398"
4380453,bus,"Kasinostraße, Darmstadt","49.875066,8.643398","Darmstadt Hbf","49.872549,8.629707"
4380456,regional,"Darmstadt Hbf","49.872549,8.629707",Frankfurt(Main)Hbf,"50.106817,8.663003"
4380665,suburban,Frankfurt(Main)Hbf,"50.106817,8.663003","Bad Homburg","50.220009,8.621356"
4380795,bus,"Bahnhof, Bad Homburg v.d. Höhe","50.220692,8.620727","Seedammbad, Bad Homburg v.d. Höhe","50.224234,8.632674"
4382154,suburban,"Bad Homburg","50.220009,8.621356",Frankfurt(Main)Hbf,"50.106817,8.663003"
4382298,regional,Frankfurt(Main)Hbf,"50.106817,8.663003","Darmstadt Hbf","49.872549,8.629707"
4382645,bus,"Darmstadt Hbf","49.872549,8.629707","Kasinostraße, Darmstadt","49.875066,8.643398"
4396574,tram,"Luisenplatz, Darmstadt","49.872882,8.651254","Kasinostraße, Darmstadt","49.875066,8.643398"
4401503,tram,"Kasinostraße, Darmstadt","49.875066,8.643398","Darmstadt Hbf","49.872549,8.629707"
4404744,nationalExpress,Frankfurt(Main)Hbf,"50.106817,8.663003","Rostock Hbf","54.078197,12.131257"
4435615,national,"Rostock Hbf","54.078197,12.131257",Ludwigslust,"53.335122,11.493751"
4436440,nationalExpress,Ludwigslust,"53.335122,11.493751","Berlin Hbf","52.3928,13.036498"
4437051,suburban,"Berlin Hbf","52.524924,13.369629","Berlin Betriebsbf Rummelsburg","52.49392,13.497573"
4442297,suburban,"Berlin Betriebsbf Rummelsburg","52.49392,13.497573","Berlin Ostkreuz","52.503305,13.468861"
4442467,suburban,"Berlin Ostkreuz","52.503305,13.468861","Berlin Bundesplatz","52.477695,13.329295"
4442638,subway,"Bundesplatz (S+U), Berlin","52.477713,13.328522","Rathaus Steglitz [U9] (S+U), Berlin","52.456858,13.320773"
4444973,suburban,"Berlin Südkreuz","52.47623,13.365863","Berlin Ostkreuz","52.503305,13.468861"
4445085,suburban,"Berlin Ostkreuz","52.503305,13.468861","Berlin Betriebsbf Rummelsburg","52.49392,13.497573"
4448013,suburban,"Berlin Betriebsbf Rummelsburg","52.49392,13.497573","Berlin Alexanderplatz","52.521526,13.411088"
4449087,suburban,"Berlin Alexanderplatz","52.521526,13.411088","Berlin Ostkreuz","52.503305,13.468861"
4449192,regional,Ostkreuz,"52.503037,13.469105",Berlin-Schöneweide,"52.455204,13.508773"
4450654,suburban,"Berlin-Schöneweide (S)","52.454979,13.509115","Berlin Südkreuz","52.47623,13.365863"
4450850,nationalExpress,"Berlin Südkreuz","52.47623,13.365863",Ludwigslust,"53.335122,11.493751"
4451031,regional,Ludwigslust,"53.335122,11.493751","Schwerin Hbf","53.634723,11.407527"
4451111,regional,"Schwerin Hbf","53.634723,11.407527","Rostock Hbf","54.078197,12.131257"
4693692,tram,"Lomonossowstraße, Rostock","54.065307,12.117342","Hauptbahnhof (U), Rostock","54.078359,12.130907"
4693813,national,"Rostock Hbf","54.078197,12.131257",Ostkreuz,"52.503037,13.469105"
4694849,suburban,"Berlin Ostkreuz","52.503305,13.468861","Berlin Betriebsbf Rummelsburg","52.49392,13.497573"
4700072,suburban,"Berlin Betriebsbf Rummelsburg","52.49392,13.497573","Berlin Jannowitzbrücke","52.514227,13.419681"
4700076,subway,"Jannowitzbrücke (S+U), Berlin","52.515503,13.418126","Boddinstr. (U), Berlin","52.479798,13.425408"
4704262,suburban,"Berlin Betriebsbf Rummelsburg","52.49392,13.497573","Berlin Hbf","52.524924,13.369629"
4704769,nationalExpress,"Berlin Hbf","52.3928,13.036498","Rostock Hbf","54.078197,12.131257"
4838461,regional,"Rostock, Hauptbahnhof","54.078297,12.130989","Hamburg Hbf","53.553533,10.00636"
4839232,national,"Hamburg Hbf","53.553533,10.00636",Hamburg-Harburg,"53.456198,9.991591"
4839372,nationalExpress,Hamburg-Harburg,"53.456198,9.991591",Kassel-Wilhelmshöhe,"51.312998,9.446845"
4841778,regional,Frankfurt(Main)Hbf,"50.106817,8.663003","Darmstadt Hbf","49.872549,8.629707"
4841790,regional,Kassel-Wilhelmshöhe,"51.312998,9.446845",Frankfurt(Main)Hbf,"50.106817,8.663003"
4841801,bus,"Darmstadt Hbf","49.872549,8.629707","Darmstadt Kasinostraße","49.874973,8.642866"
4846076,nationalExpress,"Darmstadt Hbf","49.872549,8.629707","Stuttgart Hbf","48.785052,9.182589"
4854993,nationalExpress,"Stuttgart Hbf","48.785052,9.182589","Darmstadt Hbf","49.872549,8.629707"
4859487,regional,"Darmstadt Hbf","49.872549,8.629707",Frankfurt(Main)Hbf,"50.106817,8.663003"
4860197,regional,Frankfurt(Main)Hbf,"50.106817,8.663003",Kassel-Wilhelmshöhe,"51.312998,9.446845"
4861153,nationalExpress,Kassel-Wilhelmshöhe,"51.312998,9.446845",Hamburg-Harburg,"53.456198,9.991591"
4862228,national,Hamburg-Harburg,"53.456198,9.991591","Hamburg Hbf","53.553533,10.00636"
4862540,regional,"Hamburg Hbf","53.553533,10.00636","Rostock Hbf","54.078197,12.131257"
5007220,subway,"Gleisdreieck (U), Berlin","52.49953,13.374178","S+U Potsdamer Platz Bhf (Berlin)","52.50831,13.377322"
5007224,regional,"S+U Potsdamer Platz Bhf (Berlin)","52.50831,13.377322","S+U Berlin Hauptbahnhof","52.526585,13.369713"
5010698,nationalExpress,"Berlin Ostbahnhof","52.510972,13.434558","Basel Bad Bf","47.567679,7.607886"
5013929,nationalExpress,"Freiburg (Breisgau) Hbf","47.997884,7.841335","Basel SBB","47.547408,7.589548"
5026823,tram,"Basel, Tellplatz","47.54286,7.594186","Basel, Heuwaage","47.551273,7.588046"
5029029,tram,"Basel, Heuwaage","47.551273,7.588046","Basel, Tellplatz","47.54286,7.594186"
5030501,bus,"Basel, Bruderholzstrasse","47.540504,7.591804","Basel, St. Jakob","47.54099,7.618439"
5031758,bus,"Basel, St. Jakob","47.54099,7.618439","Basel, Bruderholzstrasse","47.540504,7.591804"
5035285,tram,"Basel, Tellplatz","47.54286,7.594186","Basel, Theater","47.553125,7.589781"
5035293,tram,"Basel, Bankverein","47.553611,7.592253","Basel, Kunstmuseum","47.554456,7.594078"
5036760,tram,"Basel, Schifflände","47.559202,7.587156","Basel, Peter-Merian","47.545323,7.596164"
5038013,tram,"Basel, Tellplatz","47.54286,7.594186","Basel, Messeplatz","47.563454,7.599615"
5038898,tram,"Basel, Messeplatz","47.563454,7.599615","Basel, Tellplatz","47.54286,7.594186"
5043481,tram,"Basel, Tellplatz","47.54286,7.594186","Basel, Bhfeingang Gundeldingen","47.545616,7.587342"
5043512,suburban,"Basel SBB","47.547408,7.589548",Dornach(CH)-Arlesheim,"47.489077,7.611212"
5043819,bus,"Dornach, Bahnhof","47.490105,7.610967","Gempen, Dorf","47.476151,7.65889"
5045483,suburban,Dornach(CH)-Arlesheim,"47.489077,7.611212","Basel SBB","47.547408,7.589548"
5045653,tram,"Basel, Bhfeingang Gundeldingen","47.545616,7.587342","Basel, Tellplatz","47.54286,7.594186"
5050443,tram,"Basel, Tellplatz","47.54286,7.594186","Basel, Bankverein","47.553611,7.592253"
5051267,tram,"Basel, Theater","47.553125,7.589781","Basel, Messeplatz","47.563454,7.599615"
5054197,tram,"Basel, Messeplatz","47.563454,7.599615","Basel, Grosspeterstrasse","47.545871,7.598564"
5056009,nationalExpress,"Basel SBB","47.547408,7.589548","Hannover Hbf","52.377079,9.741763"
5057440,nationalExpress,"Hannover Hbf","52.377079,9.741763","S+U Berlin Hauptbahnhof","52.526585,13.369713"
5063487,regionalExp,"Berlin Hbf","52.524924,13.369629","Hamburg Hbf","53.553533,10.00636"
5063853,suburban,"Hamburg Hbf","53.553533,10.00636","Hamburg Langenfelde","53.57934,9.931048"
5069771,subway,"Hamburg Burgstraße","53.555775,10.041764","Hamburg Hauptbahnhof Nord","53.554024,10.005202"
5071650,nationalExpress,"Hamburg Hbf","53.553533,10.00636",Ludwigslust,"53.335122,11.493751"
5072347,regionalExp,Ludwigslust,"53.335122,11.493751","Rostock Hbf","54.078197,12.131257"
5089928,tram,"Rostock, Lomonossowstraße","54.065098,12.117213","Rostock, Steintor / IHK","54.085865,12.142689"
5089932,bus,"Rostock, Steintor / IHK","54.085865,12.142689","Rostock, Albert-Schulz-Str.","54.08988,12.187012"
5131041,nationalExpress,"Rostock Hbf","54.078197,12.131257","Hamburg Hbf","53.553533,10.00636"
5131061,nationalExpress,"Hamburg Hbf","53.553533,10.00636",Frankfurt(Main)Hbf,"50.106817,8.663003"
5131886,regional,Frankfurt(Main)Hbf,"50.106817,8.663003","Darmstadt Hbf","49.872549,8.629707"
5131887,tram,"Darmstadt Hbf","49.872549,8.629707","Darmstadt Kasinostraße","49.874973,8.642866"
5135414,bus,"Darmstadt Hbf","49.872549,8.629707","Darmstadt Luisenplatz","49.872883,8.650254"
5135459,tram,"Darmstadt Luisenplatz","49.872883,8.650254",Darmstadt-Kranichstein,"49.906816,8.679319"
5136766,tram,Darmstadt-Kranichstein,"49.906816,8.679319","Darmstadt-Kranichstein Siemensstraße","49.89639,8.680036"
5137617,bus,"Darmstadt Am Karlshof","49.882107,8.665799","Darmstadt Rhein-/Neckarstraße","49.871532,8.644714"
5137635,tram,"Darmstadt Luisenplatz","49.872883,8.650254","Darmstadt Kasinostraße","49.874973,8.642866"
5141093,tram,"Darmstadt Kasinostraße","49.874973,8.642866","Darmstadt Hbf","49.872549,8.629707"
5141185,nationalExpress,"Darmstadt Hbf","49.872549,8.629707","Karlsruhe Hbf","48.99353,8.401939"
5141939,tram,"Karlsruhe Hauptbahnhof (Vorplatz)","48.99442,8.399458","Karlsruhe ZKM","48.999795,8.386109"
5145248,tram,"Karlsruhe ZKM","48.999795,8.386109","Karlsruhe Hauptbahnhof (Vorplatz)","48.99442,8.399458"
5145450,nationalExpress,"Karlsruhe Hbf","48.99353,8.401939",Frankfurt(Main)Hbf,"50.106817,8.663003"
5145990,regional,Frankfurt(Main)Hbf,"50.106817,8.663003","Darmstadt Hbf","49.872549,8.629707"
5147795,tram,"Darmstadt Kasinostraße","49.874973,8.642866","Darmstadt Luisenplatz","49.872883,8.650254"
5147834,bus,"Darmstadt Luisenplatz","49.872883,8.650254","Darmstadt Am Karlshof","49.882107,8.665799"
5155189,tram,"Darmstadt Kasinostraße","49.874973,8.642866","Darmstadt Hbf","49.872549,8.629707"
5155194,regional,"Darmstadt Hbf","49.872549,8.629707",Frankfurt(Main)Hbf,"50.106817,8.663003"
5155646,tram,"Frankfurt (Main) Platz der Republik","50.109116,8.659346","Frankfurt (Main) Otto-Hahn-Platz","50.101006,8.674513"
5157426,nationalExpress,Frankfurt(Main)Hbf,"50.106817,8.663003","Rostock Hbf","54.078197,12.131257"
5210222,nationalExpress,"Rostock Hbf","54.078197,12.131257","Stralsund Hbf","54.308626,13.077318"
5210586,bus,"Stralsund Hbf","54.308626,13.077318",Samtens,"54.354031,13.290282"
5210767,regional,Samtens,"54.354031,13.290282",Prora,"54.445002,13.564039"
5212246,regional,Prora,"54.445002,13.564039","Stralsund Rügendamm","54.305283,13.107468"
5212651,bus,"Stralsund Rügendamm","54.305283,13.107468","Stralsund Hbf","54.308626,13.077318"
5212779,nationalExpress,"Stralsund Hbf","54.308626,13.077318","Rostock Hbf","54.078197,12.131257"
5356175,tram,"Rostock, Lomonossowstraße","54.065098,12.117213","Rostock, Steintor / IHK","54.085865,12.142689"
5356922,tram,"Rostock, Steintor / IHK","54.085865,12.142689","Rostock, Lomonossowstraße","54.065098,12.117213"
5385169,tram,"Rostock, Lomonossowstraße","54.065098,12.117213","Rostock Hbf","54.078197,12.131257"
5385264,nationalExpress,"Rostock Hbf","54.078197,12.131257","Berlin Hbf","52.524924,13.369629"
5393787,subway,"Berlin Hbf","52.524924,13.369629","Frankfurter Tor (U), Berlin","52.515845,13.453948"
5394056,tram,"Frankfurter Tor (U), Berlin","52.515845,13.453948","Gustav-Holzmann-Str., Berlin","52.493354,13.490409"
5395585,tram,"Gustav-Holzmann-Str., Berlin","52.493354,13.490409","Neue Bahnhofstr., Berlin","52.506424,13.469769"
5395644,regional,"S Ostkreuz Bhf (Berlin)","52.503315,13.469607","S+U Friedrichstr. Bhf (Berlin)","52.520424,13.38635"
5396748,regionalExp,"Berlin Hbf","52.524924,13.369629","Rostock Hbf","54.078197,12.131257"
5440096,tram,"Rostock, Lomonossowstraße","54.065098,12.117213","Rostock Hbf","54.078197,12.131257"
5440129,nationalExpress,"Rostock Hbf","54.078197,12.131257","Hamburg Hbf","53.553533,10.00636"
5440474,tram,"Rostock, Stadthalle","54.078255,12.127095","Rostock, Lomonossowstraße","54.065098,12.117213"
5441880,tram,"Rostock, Lomonossowstraße","54.065098,12.117213","Rostock Hbf","54.078197,12.131257"
5441944,nationalExpress,"Rostock Hbf","54.078197,12.131257","Hamburg Hbf","53.553533,10.00636"
5443862,subway,"Hamburg Hauptbahnhof Nord","53.554024,10.005202","Hamburg Rauhes Haus","53.55421,10.066485"
5445105,bus,Beethovenstraße,"53.574574,10.021812","Hamburg HBF/Kirchenallee","53.553246,10.008697"
5445230,nationalExpress,"Hamburg Hbf","53.553533,10.00636","Bremen Hbf","53.08328,8.813681"
5445664,tram,"Bremen Herdentor","53.079735,8.81024","Bremen Am Brill (Hutfilter-/Obernstraße)","53.078705,8.801619"
5445738,tram,"Bremen Am Brill (Hutfilter-/Obernstraße)","53.078705,8.801619","Bremen Konsul-Smidt-Straße","53.086697,8.782151"
5448903,tram,"Bremen Wartburgstraße","53.09372,8.78883","Bremen Hauptbahnhof","53.081413,8.81365"
5449027,tram,"Bremen Hauptbahnhof","53.081413,8.81365","Bremen Universität-Süd","53.105026,8.851518"
5450219,bus,"Bremen Universität-Süd","53.105026,8.851518","Bremen Hauptbahnhof-Nord/Messe","53.084587,8.816799"
5450852,nationalExpress,"Bremen Hbf","53.08328,8.813681","Hamburg Hbf","53.551193,10.008067"
5451505,nationalExpress,"Hamburg Hbf","53.553533,10.00636","Rostock Hbf","54.078197,12.131257"
5489241,tram,"Rostock, Majakowskistraße","54.069443,12.116225","Rostock Neuer Markt","54.08899,12.140408"
5489254,tram,"Rostock, Majakowskistraße","54.069443,12.116225","Rostock Neuer Markt","54.08899,12.140408"
5492074,tram,"Rostock, Kröpeliner Tor","54.089817,12.129987","Rostock, Lomonossowstraße","54.065098,12.117213"
5531888,nationalExpress,"Rostock Hbf","54.078197,12.131257","Schwerin Hbf","53.634723,11.407527"
5532758,regional,"Schwerin Hbf","53.634723,11.407527",Ludwigslust,"53.335122,11.493751"
5533298,nationalExpress,Ludwigslust,"53.335122,11.493751","S Spandau Bhf (Berlin)","52.534668,13.197191"
5534241,subway,"S+U Rathaus Spandau (Berlin)","52.535187,13.199712","Siemensdamm (U), Berlin","52.536799,13.272483"
5534818,subway,"Siemensdamm (U), Berlin","52.536799,13.272483","Bayerischer Platz (U), Berlin","52.488527,13.339938"
5535835,subway,"Bayerischer Platz (U), Berlin","52.488527,13.339938","Siemensdamm (U), Berlin","52.536799,13.272483"
5538390,subway,"Siemensdamm (U), Berlin","52.536799,13.272483","Bismarckstr. (U), Berlin","52.51153,13.305177"
5538395,subway,"Bismarckstr. (U), Berlin","52.51153,13.305177","Stadtmitte (U), Berlin","52.511701,13.389684"
5543056,regional,"S+U Potsdamer Platz Bhf (Berlin)","52.50831,13.377322","S+U Jungfernheide Bhf (Berlin)","52.53036,13.299325"
5543124,subway,"S+U Jungfernheide Bhf (Berlin)","52.53036,13.299325","Siemensdamm (U), Berlin","52.536799,13.272483"
5543377,subway,"Siemensdamm (U), Berlin","52.536799,13.272483","Zitadelle (U), Berlin","52.537635,13.217685"
5543590,subway,"Zitadelle (U), Berlin","52.537635,13.217685","Siemensdamm (U), Berlin","52.536799,13.272483"
5545758,subway,"Siemensdamm (U), Berlin","52.536799,13.272483","Bayerischer Platz (U), Berlin","52.488527,13.339938"
5546089,bus,"Rathaus Schöneberg, Berlin","52.485291,13.345071","S Südkreuz Bhf (Berlin)","52.47588,13.365602"
5546101,suburban,"S Südkreuz Bhf (Berlin)","52.47588,13.365602","S+U Tempelhof (Berlin)","52.471027,13.384476"
5547001,subway,"Südstern (U), Berlin","52.489066,13.407879","Bayerischer Platz (U), Berlin","52.488527,13.339938"
5547334,bus,"Rathaus Schöneberg, Berlin","52.485291,13.345071","S Südkreuz Bhf (Berlin)","52.47588,13.365602"
5547365,regional,"S Südkreuz Bhf (Berlin)","52.47588,13.365602","Berlin Hbf","52.524924,13.369629"
5547553,nationalExpress,"Berlin Südkreuz","52.47623,13.365863","Rostock Hbf","54.078197,12.131257"
5548893,tram,"Rostock Hbf","54.078197,12.131257","Rostock, Lomonossowstraße","54.065098,12.117213"
5591659,regional,Neubrandenburg,"53.561938,13.261768","Neustrelitz Hbf","53.357936,13.07375"
5592098,regional,"Neustrelitz Hbf","53.357936,13.07375","Rostock Hbf","54.078197,12.131257"
5630786,regionalExp,"Rostock Hbf","54.078197,12.131257","Berlin Hbf","52.524924,13.369629"
5631772,nationalExpress,"Berlin Hbf","52.524924,13.369629","Erfurt Hbf","50.97255,11.038502"
5632375,nationalExpress,"Erfurt Hbf","50.97255,11.038502",Frankfurt(Main)Hbf,"50.106817,8.663003"
5633793,regional,Frankfurt(Main)Hbf,"50.106817,8.663003","Darmstadt Hbf","49.872549,8.629707"
5637228,tram,"Darmstadt Kasinostraße","49.874973,8.642866","Darmstadt Hbf","49.872549,8.629707"
5637735,regional,Neu-Edingen/Friedrichsfeld,"49.44842,8.579934",Schwetzingen,"49.383428,8.578712"
5637739,suburban,Schwetzingen,"49.383428,8.578712","Karlsruhe Hbf","48.99353,8.401939"
5638216,regional,"Karlsruhe Hbf","48.99353,8.401939",Wilferdingen-Singen,"48.953744,8.572797"
5642671,regional,Wilferdingen-Singen,"48.953744,8.572797","Karlsruhe Hbf","48.99353,8.401939"
5642914,nationalExpress,"Karlsruhe Hbf","48.99353,8.401939",Frankfurt(Main)Hbf,"50.106817,8.663003"
5643813,nationalExpress,Frankfurt(Main)Hbf,"50.106817,8.663003","Berlin Gesundbrunnen","52.548656,13.39106"
5645926,regionalExp,"Berlin Gesundbrunnen","52.548656,13.39106","Rostock Hbf","54.078197,12.131257"
5669912,regionalExp,"Rostock Hbf","54.078197,12.131257","Berlin Gesundbrunnen","52.548656,13.39106"
5670286,nationalExpress,"Berlin Gesundbrunnen","52.548656,13.39106",Frankfurt(Main)Hbf,"50.106817,8.663003"
5672554,regional,Frankfurt(Main)Hbf,"50.106817,8.663003","Darmstadt Hbf","49.872549,8.629707"
5774611,suburban,"Darmstadt Hbf","49.872549,8.629707",Frankfurt(Main)Süd,"50.099302,8.686187"
5775170,nationalExpress,Frankfurt(Main)Süd,"50.099302,8.686187","Berlin Hbf","52.524924,13.369629"
5779693,regional,"S+U Berlin Hauptbahnhof","52.524788,13.369667",Güstrow,"53.800754,12.172608"
5779695,suburban,Güstrow,"53.800754,12.172608","Rostock Hbf","54.078197,12.131257"
5779861,tram,"Rostock Hbf","54.078197,12.131257","Rostock, Lomonossowstraße","54.065098,12.117213"
5816820,regionalExp,"Rostock Hbf","54.078197,12.131257","Berlin Hbf","52.524924,13.369629"
5820316,nationalExpress,"Berlin Hbf","52.524924,13.369629",Frankfurt(Main)Hbf,"50.106817,8.663003"
5820336,regional,Frankfurt(Main)Hbf,"50.106817,8.663003","Darmstadt Hbf","49.872549,8.629707"
5820341,tram,"Darmstadt Hbf","49.872549,8.629707","Darmstadt Kasinostraße","49.874973,8.642866"
5824487,bus,"Darmstadt Hbf","49.872549,8.629707","Frankfurt (Main) Flughafen Terminal 1","50.051414,8.571453"
5825047,nationalExpress,"Frankfurt(M) Flughafen Fernbf","50.052926,8.569776",Montabaur,"50.44473,7.825254"
5831311,nationalExpress,Montabaur,"50.44473,7.825254",Frankfurt(Main)Hbf,"50.106817,8.663003"
5831927,regional,Frankfurt(Main)Hbf,"50.106817,8.663003","Darmstadt Ost","49.874904,8.673772"
5832185,bus,"Darmstadt Ost","49.874904,8.673772","Darmstadt Kasinostraße","49.874973,8.642866"
5836579,nationalExpress,Frankfurt(Main)Hbf,"50.106817,8.663003","S+U Berlin Hauptbahnhof","52.524788,13.369667"
5838169,regionalExp,"Berlin Hbf","52.524924,13.369629","Rostock Hbf","54.078197,12.131257"
6020471,tram,"Rostock, Lomonossowstraße","54.065098,12.117213","Rostock Hbf","54.078197,12.131257"
6020549,regionalExp,"Rostock Hbf","54.078197,12.131257","Dresden Hbf","51.040221,13.731409"
6022459,suburban,"Dresden Hbf","51.040221,13.731409","Bad Schandau Nationalparkbahnhof","50.91921,14.137704"
6022840,ferry,"Bad Schandau Nationalparkbahnhof","50.91956,14.140246","Bad Schandau Elbbrücke","50.921186,14.14085"
6022928,bus,"Bad Schandau Elbbrücke","50.921186,14.14085","Kirnitzschtal Beuthenfall","50.926506,14.237893"
6029683,bus,"Hřensko,střed","50.87404,14.242667","Děčín,hl.nádr.","50.773994,14.200767"
6029909,regionalExp,"Děčín hl. n.","50.773476,14.201046","Praha hl. n.","50.083058,14.436037"
6031066,subway,Muzeum,"50.080048,14.430857",Malostranská,"50.091637,14.409068"
6031762,subway,Malostranská,"50.091637,14.409068",Můstek,"50.08359,14.424664"
6032159,subway,Můstek,"50.08359,14.424664",Muzeum,"50.080048,14.430857"
6032364,regionalExp,"Praha hl.n.","50.083058,14.436038","Decin hl.n.","50.773987,14.201527"
6033216,regional,"Decin hl.n.","50.773987,14.201527",Schöna,"50.87588,14.234688"
6033333,ferry,"Schöna Fährstelle","50.87526,14.234929","Hrensko Fährstelle","50.8749,14.236195"
6034811,bus,"Hřensko,střed","50.87404,14.242667","Hřensko,přívoz","50.87761,14.236995"
6036579,bus,"Postelwitz Abzweig Ostrau","50.910576,14.184937","Bad Schandau Marktplatz","50.917656,14.153146"
6036662,ferry,"Bad Schandau Elbkai","50.91663,14.152077","Bad Schandau Nationalparkbahnhof","50.91956,14.140246"
6036715,suburban,"Bad Schandau Nationalparkbahnhof","50.91921,14.137704","Dresden Hbf","51.040221,13.731409"
6038032,regionalExp,"Dresden Hbf","51.040221,13.731409","Rostock Hbf","54.078197,12.131257"
6039772,tram,"Rostock Hbf","54.078197,12.131257","Rostock, Lomonossowstraße","54.065098,12.117213"
6065632,tram,"Rostock, Südstadt-Center","54.07215,12.117195","Rostock, Kröpeliner Tor","54.089817,12.129987"
6067553,tram,"Rostock, Kröpeliner Tor","54.089817,12.129987","Rostock, Lomonossowstraße","54.065098,12.117213"
6068310,tram,"Rostock, Lomonossowstraße","54.065098,12.117213","Rostock Hbf","54.078197,12.131257"
